party,ministry,questions,ministry_total,party_total,lift
BAP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",2,1021,138,0.843
AIADMK,LAW AND JUSTICE,9,911,697,0.842
RJD,HOME AFFAIRS,8,1051,537,0.842
ASP (KR),POWER,1,830,85,0.842
AITC,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",48,1332,2544,0.841
SHS(UBT),CHEMICALS AND FERTILIZERS,12,1235,686,0.841
NCP,AGRICULTURE AND FARMERS WELFARE,8,2754,205,0.841
KEC,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1,1332,53,0.841
KC(M),LABOUR AND EMPLOYMENT,3,1570,135,0.84
NCP(SP),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",18,1809,704,0.839
YSRCP,STEEL,6,334,1271,0.839
SS,FINANCE,36,2253,1132,0.838
SP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,29,882,2331,0.838
AAP,TOURISM,12,1076,790,0.838
LJSP(RV),FOOD PROCESSING INDUSTRIES,3,770,276,0.838
CPI(M),HEALTH AND FAMILY WELFARE,55,3550,1102,0.835
JD(U),SOCIAL JUSTICE AND EMPOWERMENT,15,1048,1018,0.835
LJSP(RV),ROAD TRANSPORT AND HIGHWAYS,8,2061,276,0.835
BAP,ROAD TRANSPORT AND HIGHWAYS,4,2061,138,0.835
INC,INFORMATION AND BROADCASTING,73,465,11184,0.834
AJSU,"MICRO, SMALL AND MEDIUM ENTERPRISES",1,1131,63,0.833
IUML,STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,682,0.832
INC,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,138,882,11184,0.831
RJD,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",10,1332,537,0.83
NCP(SP),"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",3,305,704,0.83
DMK,AGRICULTURE AND FARMERS WELFARE,136,2754,3537,0.829
INC,STATISTICS AND PROGRAMME IMPLEMENTATION,49,314,11184,0.829
IND.,EDUCATION,38,2802,971,0.829
CPI(M),CHEMICALS AND FERTILIZERS,19,1235,1102,0.829
DMDK,AGRICULTURE AND FARMERS WELFARE,1,2754,26,0.829
BJD,FINANCE,32,2253,1019,0.828
CPI(ML)(L),TOURISM,3,1076,200,0.828
DMK,NEW AND RENEWABLE ENERGY,49,995,3537,0.827
VCK,STEEL,1,334,215,0.827
CPI,SOCIAL JUSTICE AND EMPOWERMENT,6,1048,412,0.825
SP,HOUSING AND URBAN AFFAIRS,59,1823,2331,0.824
SHS(UBT),JAL SHAKTI,19,1997,686,0.824
BJD,"MICRO, SMALL AND MEDIUM ENTERPRISES",16,1131,1019,0.824
BRS,COOPERATION,3,731,296,0.823
RLP,NEW AND RENEWABLE ENERGY,2,995,145,0.823
RLM,ROAD TRANSPORT AND HIGHWAYS,1,2061,35,0.823
IND.,RAILWAYS,39,2900,971,0.822
SAD,POWER,1,830,87,0.822
JMM,"MICRO, SMALL AND MEDIUM ENTERPRISES",3,1131,192,0.82
BAP,HOME AFFAIRS,2,1051,138,0.819
CPI,DEVELOPMENT OF NORTH EASTERN REGION,1,176,412,0.819
BJP,EDUCATION,883,2802,22881,0.818
INC,"MICRO, SMALL AND MEDIUM ENTERPRISES",174,1131,11184,0.817
SP,HEAVY INDUSTRIES,13,406,2331,0.816
INC,DEVELOPMENT OF NORTH EASTERN REGION,27,176,11184,0.815
RJD,COMMERCE AND INDUSTRY,10,1356,537,0.815
VCK,COMMERCE AND INDUSTRY,4,1356,215,0.815
AAP,LABOUR AND EMPLOYMENT,17,1570,790,0.814
JD(U),PANCHAYATI RAJ,8,573,1018,0.814
BJD,PANCHAYATI RAJ,8,573,1019,0.814
AIADMK,STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,697,0.814
KEC,AGRICULTURE AND FARMERS WELFARE,2,2754,53,0.814
NOM.,"PORTS, SHIPPING AND WATERWAYS",3,769,285,0.813
SS,COMMERCE AND INDUSTRY,21,1356,1132,0.812
IND.,COMMERCE AND INDUSTRY,18,1356,971,0.812
NOM.,FOOD PROCESSING INDUSTRIES,3,770,285,0.812
BJP,FINANCE,703,2253,22881,0.81
SHS(UBT),CULTURE,10,1069,686,0.81
INC,TOURISM,164,1076,11184,0.809
NCP(SP),COOPERATION,7,731,704,0.808
RLP,HEALTH AND FAMILY WELFARE,7,3550,145,0.808
AAP,INFORMATION AND BROADCASTING,5,465,790,0.808
AAP,DEFENCE,2,186,790,0.808
UPPL,CHEMICALS AND FERTILIZERS,2,1235,119,0.808
YSRCP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",23,1332,1271,0.807
DMK,ATOMIC ENERGY,21,437,3537,0.807
SS,LAW AND JUSTICE,14,911,1132,0.806
JD(U),TRIBAL AFFAIRS,11,796,1018,0.806
AITC,"MICRO, SMALL AND MEDIUM ENTERPRISES",39,1131,2544,0.805
AAP,COMMUNICATIONS,12,1120,790,0.805
DMK,COOPERATION,35,731,3537,0.804
AIADMK,WOMEN AND CHILD DEVELOPMENT,12,1271,697,0.804
SHS(UBT),TOURISM,10,1076,686,0.804
YSRCP,INFORMATION AND BROADCASTING,8,465,1271,0.804
BAP,MINORITY AFFAIRS,1,535,138,0.804
INC,ATOMIC ENERGY,66,437,11184,0.802
SP,SOCIAL JUSTICE AND EMPOWERMENT,33,1048,2331,0.802
INC,NEW AND RENEWABLE ENERGY,150,995,11184,0.8
LJSP(RV),TOURISM,4,1076,276,0.8
KEC,EDUCATION,2,2802,53,0.8
TDP,YOUTH AFFAIRS AND SPORTS,30,1024,2178,0.799
BJD,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",14,1021,1019,0.799
PMK,FINANCE,1,2253,33,0.799
CPI(M),HOUSING AND URBAN AFFAIRS,27,1823,1102,0.798
DMK,TOURISM,51,1076,3537,0.796
Unknown,HOME AFFAIRS,2,1051,142,0.796
NOM.,SOCIAL JUSTICE AND EMPOWERMENT,4,1048,285,0.795
AIADMK,TOURISM,10,1076,697,0.792
RSP,RURAL DEVELOPMENT,2,1389,108,0.792
ASP (KR),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,85,0.792
TDP,CULTURE,31,1069,2178,0.791
DMK,PANCHAYATI RAJ,27,573,3537,0.791
SS,TRIBAL AFFAIRS,12,796,1132,0.791
CPI(ML)(L),FINANCE,6,2253,200,0.791
DMK,JAL SHAKTI,94,1997,3537,0.79
AIADMK,ELECTRONICS AND INFORMATION TECHNOLOGY,9,971,697,0.79
NCP(SP),CULTURE,10,1069,704,0.789
IND.,INFORMATION AND BROADCASTING,6,465,971,0.789
BRS,WOMEN AND CHILD DEVELOPMENT,5,1271,296,0.789
AITC,AGRICULTURE AND FARMERS WELFARE,93,2754,2544,0.788
YSRCP,POWER,14,830,1271,0.788
SHS(UBT),"PORTS, SHIPPING AND WATERWAYS",7,769,686,0.788
VCK,HOME AFFAIRS,3,1051,215,0.788
CPI(ML)(L),"MICRO, SMALL AND MEDIUM ENTERPRISES",3,1131,200,0.788
DMDK,RAILWAYS,1,2900,26,0.788
NCP(SP),HOUSING AND URBAN AFFAIRS,17,1823,704,0.787
Unknown,CIVIL AVIATION,4,2129,142,0.786
BRS,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",4,1021,296,0.786
KC(M),COMMUNICATIONS,2,1120,135,0.785
BRS,YOUTH AFFAIRS AND SPORTS,4,1024,296,0.784
RJD,WOMEN AND CHILD DEVELOPMENT,9,1271,537,0.783
RLP,LABOUR AND EMPLOYMENT,3,1570,145,0.783
AIMIM,JAL SHAKTI,3,1997,114,0.783
YSRCP,TOURISM,18,1076,1271,0.782
BRS,EXTERNAL AFFAIRS,4,1026,296,0.782
BRS,FOOD PROCESSING INDUSTRIES,3,770,296,0.782
LJSP(RV),AGRICULTURE AND FARMERS WELFARE,10,2754,276,0.781
MDMK,HEALTH AND FAMILY WELFARE,7,3550,150,0.781
KC(M),FINANCE,4,2253,135,0.781
SHS(UBT),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",12,1332,686,0.78
INC,STEEL,49,334,11184,0.779
RLP,HOME AFFAIRS,2,1051,145,0.779
VCK,CIVIL AVIATION,6,2129,215,0.778
NCP,COMMUNICATIONS,3,1120,205,0.776
AIADMK,FOOD PROCESSING INDUSTRIES,7,770,697,0.775
AAP,ELECTRONICS AND INFORMATION TECHNOLOGY,10,971,790,0.774
RJD,MINES,3,429,537,0.773
INC,HEAVY INDUSTRIES,59,406,11184,0.772
RJD,PANCHAYATI RAJ,4,573,537,0.772
MDMK,EXTERNAL AFFAIRS,2,1026,150,0.772
SP,COAL,20,661,2331,0.771
AIADMK,NEW AND RENEWABLE ENERGY,9,995,697,0.771
JSP,RURAL DEVELOPMENT,4,1389,222,0.77
YSRCP,LAW AND JUSTICE,15,911,1271,0.769
AAP,WOMEN AND CHILD DEVELOPMENT,13,1271,790,0.769
RLP,CIVIL AVIATION,4,2129,145,0.769
JD(U),HOUSING AND URBAN AFFAIRS,24,1823,1018,0.768
DMK,HOME AFFAIRS,48,1051,3537,0.767
TDP,PETROLEUM AND NATURAL GAS,32,1138,2178,0.767
RLP,CULTURE,2,1069,145,0.766
SP,TEXTILES,21,699,2331,0.765
IUML,AYUSH,10,1138,682,0.765
IND.,COMMUNICATIONS,14,1120,971,0.764
BJD,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",4,305,1019,0.764
JSP,HOME AFFAIRS,3,1051,222,0.764
TDP,INFORMATION AND BROADCASTING,13,465,2178,0.762
DMK,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",82,1809,3537,0.761
YSRCP,CORPORATE AFFAIRS,12,737,1271,0.761
BRS,RAILWAYS,11,2900,296,0.761
YSRCP,SCIENCE AND TECHNOLOGY,7,430,1271,0.761
CPI(M),EARTH SCIENCES,6,425,1102,0.761
RLP,TOURISM,2,1076,145,0.761
AITC,POWER,27,830,2544,0.759
Unknown,AGRICULTURE AND FARMERS WELFARE,5,2754,142,0.759
BJD,TOURISM,14,1076,1019,0.758
JD(U),FOOD PROCESSING INDUSTRIES,10,770,1018,0.758
KC(M),RAILWAYS,5,2900,135,0.758
BJP,MINORITY AFFAIRS,156,535,22881,0.757
BJD,FOOD PROCESSING INDUSTRIES,10,770,1019,0.757
LJSP(RV),PETROLEUM AND NATURAL GAS,4,1138,276,0.756
BAP,PETROLEUM AND NATURAL GAS,2,1138,138,0.756
BAP,AYUSH,2,1138,138,0.756
UPPL,COAL,1,661,119,0.755
IUML,WOMEN AND CHILD DEVELOPMENT,11,1271,682,0.754
YSRCP,DEFENCE,3,186,1271,0.754
BRS,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",5,1332,296,0.753
DMK,CORPORATE AFFAIRS,33,737,3537,0.752
IND.,AYUSH,14,1138,971,0.752
BJD,INFORMATION AND BROADCASTING,6,465,1019,0.752
JSP,CULTURE,3,1069,222,0.751
SS,FOOD PROCESSING INDUSTRIES,11,770,1132,0.749
VCK,CORPORATE AFFAIRS,2,737,215,0.749
SAD,HOUSING AND URBAN AFFAIRS,2,1823,87,0.749
SP,YOUTH AFFAIRS AND SPORTS,30,1024,2331,0.746
Unknown,EDUCATION,5,2802,142,0.746
CPI,RAILWAYS,15,2900,412,0.745
NCP(SP),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",9,1021,704,0.744
JD(U),LABOUR AND EMPLOYMENT,20,1570,1018,0.743
YSRCP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,14,882,1271,0.742
BJD,STATISTICS AND PROGRAMME IMPLEMENTATION,4,314,1019,0.742
AJSU,WOMEN AND CHILD DEVELOPMENT,1,1271,63,0.742
TDP,CORPORATE AFFAIRS,20,737,2178,0.74
BRS,COMMERCE AND INDUSTRY,5,1356,296,0.74
VCK,COMMUNICATIONS,3,1120,215,0.74
AAP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",3,305,790,0.739
RLD,ROAD TRANSPORT AND HIGHWAYS,3,2061,117,0.739
DMK,AYUSH,50,1138,3537,0.738
J&KNC,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",2,1809,89,0.738
AITC,CHEMICALS AND FERTILIZERS,39,1235,2544,0.737
RLD,AGRICULTURE AND FARMERS WELFARE,4,2754,117,0.737
INC,SPACE,33,238,11184,0.736
AAP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",10,1021,790,0.736
UPPL,COMMERCE AND INDUSTRY,2,1356,119,0.736
TDP,STEEL,9,334,2178,0.735
Unknown,AYUSH,2,1138,142,0.735
Unknown,PETROLEUM AND NATURAL GAS,2,1138,142,0.735
AAP,"MICRO, SMALL AND MEDIUM ENTERPRISES",11,1131,790,0.731
RLP,COMMUNICATIONS,2,1120,145,0.731
CPI(ML)(L),HEAVY INDUSTRIES,1,406,200,0.731
TDP,LABOUR AND EMPLOYMENT,42,1570,2178,0.729
JMM,EARTH SCIENCES,1,425,192,0.728
BJD,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,11,882,1019,0.727
BAP,HEALTH AND FAMILY WELFARE,6,3550,138,0.727
NOM.,PANCHAYATI RAJ,2,573,285,0.727
NCP(SP),INFORMATION AND BROADCASTING,4,465,704,0.726
JSP,CORPORATE AFFAIRS,2,737,222,0.726
BRS,POWER,3,830,296,0.725
SP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",29,1021,2331,0.724
KC(M),HOUSING AND URBAN AFFAIRS,3,1823,135,0.724
INC,PLANNING,32,235,11184,0.723
ASP (KR),RAILWAYS,3,2900,85,0.723
SS,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",14,1021,1132,0.719
ASP (KR),ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,85,0.719
JD(S),AGRICULTURE AND FARMERS WELFARE,1,2754,30,0.719
JMM,SCIENCE AND TECHNOLOGY,1,430,192,0.719
AIADMK,FINANCE,19,2253,697,0.718
JD(U),COOPERATION,9,731,1018,0.718
JD(U),HEAVY INDUSTRIES,5,406,1018,0.718
TDP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",35,1332,2178,0.716
SS,EXTERNAL AFFAIRS,14,1026,1132,0.716
JSP,COMMUNICATIONS,3,1120,222,0.716
TDP,RAILWAYS,76,2900,2178,0.715
RSP,"PORTS, SHIPPING AND WATERWAYS",1,769,108,0.715
AAP,CORPORATE AFFAIRS,7,737,790,0.714
BAP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",3,1809,138,0.714
KEC,LABOUR AND EMPLOYMENT,1,1570,53,0.714
RSP,FOOD PROCESSING INDUSTRIES,1,770,108,0.714
SS,CORPORATE AFFAIRS,10,737,1132,0.712
CPI,HOUSING AND URBAN AFFAIRS,9,1823,412,0.712
UPPL,EDUCATION,4,2802,119,0.712
NCP(SP),FINANCE,19,2253,704,0.711
YSRCP,HOME AFFAIRS,16,1051,1271,0.711
SP,SCIENCE AND TECHNOLOGY,12,430,2331,0.711
SP,ELECTRONICS AND INFORMATION TECHNOLOGY,27,971,2331,0.708
JMM,ATOMIC ENERGY,1,437,192,0.708
AITC,YOUTH AFFAIRS AND SPORTS,31,1024,2544,0.707
AIMIM,CORPORATE AFFAIRS,1,737,114,0.707
INC,AYUSH,151,1138,11184,0.705
BRS,AYUSH,4,1138,296,0.705
JSP,AYUSH,3,1138,222,0.705
IND.,HOUSING AND URBAN AFFAIRS,21,1823,971,0.704
BJD,RAILWAYS,35,2900,1019,0.703
YSRCP,JAL SHAKTI,30,1997,1271,0.702
ASP (KR),NEW AND RENEWABLE ENERGY,1,995,85,0.702
IND.,LABOUR AND EMPLOYMENT,18,1570,971,0.701
CPI(M),"PORTS, SHIPPING AND WATERWAYS",10,769,1102,0.701
JMM,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,192,0.701
BJD,JAL SHAKTI,24,1997,1019,0.7
BRS,PANCHAYATI RAJ,2,573,296,0.7
IND.,PETROLEUM AND NATURAL GAS,13,1138,971,0.699
CPI(ML)(L),EARTH SCIENCES,1,425,200,0.699
YSRCP,WOMEN AND CHILD DEVELOPMENT,19,1271,1271,0.698
SP,COOPERATION,20,731,2331,0.697
BAP,CHEMICALS AND FERTILIZERS,2,1235,138,0.697
DMK,TRIBAL AFFAIRS,33,796,3537,0.696
JSP,"PORTS, SHIPPING AND WATERWAYS",2,769,222,0.696
MDMK,AYUSH,2,1138,150,0.696
MDMK,PETROLEUM AND NATURAL GAS,2,1138,150,0.696
CPI(M),TEXTILES,9,699,1102,0.694
AIADMK,CORPORATE AFFAIRS,6,737,697,0.694
RLD,COOPERATION,1,731,117,0.694
CPI(ML)(L),MINES,1,429,200,0.692
BJP,EXTERNAL AFFAIRS,273,1026,22881,0.691
INC,SCIENCE AND TECHNOLOGY,56,430,11184,0.691
RJD,COMMUNICATIONS,7,1120,537,0.691
CPI(ML)(L),SCIENCE AND TECHNOLOGY,1,430,200,0.69
SHS(UBT),"MICRO, SMALL AND MEDIUM ENTERPRISES",9,1131,686,0.689
RLD,CORPORATE AFFAIRS,1,737,117,0.689
AAP,ATOMIC ENERGY,4,437,790,0.688
TDP,RURAL DEVELOPMENT,35,1389,2178,0.687
SHS(UBT),RURAL DEVELOPMENT,11,1389,686,0.686
JD(U),EARTH SCIENCES,5,425,1018,0.686
AAP,"PORTS, SHIPPING AND WATERWAYS",7,769,790,0.684
SS,TOURISM,14,1076,1132,0.683
ASP (KR),YOUTH AFFAIRS AND SPORTS,1,1024,85,0.682
JSP,LABOUR AND EMPLOYMENT,4,1570,222,0.681
ASP (KR),EXTERNAL AFFAIRS,1,1026,85,0.681
JMM,HOUSING AND URBAN AFFAIRS,4,1823,192,0.679
CPI(M),SPACE,3,238,1102,0.679
NCP(SP),NEW AND RENEWABLE ENERGY,8,995,704,0.678
ASP (KR),ROAD TRANSPORT AND HIGHWAYS,2,2061,85,0.678
CPI(M),TRIBAL AFFAIRS,10,796,1102,0.677
CPI,CULTURE,5,1069,412,0.674
NCP,SCIENCE AND TECHNOLOGY,1,430,205,0.674
CPI(ML)(L),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,200,0.673
J&KNC,NEW AND RENEWABLE ENERGY,1,995,89,0.671
JSP,JAL SHAKTI,5,1997,222,0.67
AITC,TEXTILES,20,699,2544,0.668
LJSP(RV),FINANCE,7,2253,276,0.668
SS,STATISTICS AND PROGRAMME IMPLEMENTATION,4,314,1132,0.668
CPI(M),HOME AFFAIRS,13,1051,1102,0.667
BJD,SOCIAL JUSTICE AND EMPOWERMENT,12,1048,1019,0.667
JD(U),ATOMIC ENERGY,5,437,1018,0.667
BJD,ATOMIC ENERGY,5,437,1019,0.667
SS,YOUTH AFFAIRS AND SPORTS,13,1024,1132,0.666
JMM,INFORMATION AND BROADCASTING,1,465,192,0.665
NOM.,LABOUR AND EMPLOYMENT,5,1570,285,0.664
NCP,ATOMIC ENERGY,1,437,205,0.663
TDP,MINORITY AFFAIRS,13,535,2178,0.662
RJD,STEEL,2,334,537,0.662
SHS(UBT),SOCIAL JUSTICE AND EMPOWERMENT,8,1048,686,0.661
DMK,COAL,26,661,3537,0.66
JSP,HEAVY INDUSTRIES,1,406,222,0.659
CPI(M),PANCHAYATI RAJ,7,573,1102,0.658
NCP(SP),"PORTS, SHIPPING AND WATERWAYS",6,769,704,0.658
SAD,SOCIAL JUSTICE AND EMPOWERMENT,1,1048,87,0.651
VCK,EARTH SCIENCES,1,425,215,0.65
ASP (KR),TOURISM,1,1076,85,0.649
UPPL,"PORTS, SHIPPING AND WATERWAYS",1,769,119,0.649
SP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",46,1809,2331,0.648
AIADMK,HOME AFFAIRS,8,1051,697,0.648
IND.,COAL,7,661,971,0.648
NOM.,FINANCE,7,2253,285,0.647
RJD,EXTERNAL AFFAIRS,6,1026,537,0.647
SHS(UBT),MINORITY AFFAIRS,4,535,686,0.647
RLD,LABOUR AND EMPLOYMENT,2,1570,117,0.647
AITC,TRIBAL AFFAIRS,22,796,2544,0.645
BJD,COMMERCE AND INDUSTRY,15,1356,1019,0.645
BJD,NEW AND RENEWABLE ENERGY,11,995,1019,0.644
NCP(SP),SOCIAL JUSTICE AND EMPOWERMENT,8,1048,704,0.644
VCK,MINES,1,429,215,0.644
CPI,COMMUNICATIONS,5,1120,412,0.643
PMK,EDUCATION,1,2802,33,0.642
MDMK,CHEMICALS AND FERTILIZERS,2,1235,150,0.641
SHS(UBT),HEAVY INDUSTRIES,3,406,686,0.64
AAP,PLANNING,2,235,790,0.64
SP,COMMERCE AND INDUSTRY,34,1356,2331,0.639
BRS,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,296,0.639
JMM,ELECTRONICS AND INFORMATION TECHNOLOGY,2,971,192,0.637
CPI,AYUSH,5,1138,412,0.633
AIADMK,HEAVY INDUSTRIES,3,406,697,0.63
BJD,RURAL DEVELOPMENT,15,1389,1019,0.629
LJSP(RV),EXTERNAL AFFAIRS,3,1026,276,0.629
JD(U),DEFENCE,2,186,1018,0.627
ASP (KR),COMMUNICATIONS,1,1120,85,0.624
TDP,HOME AFFAIRS,24,1051,2178,0.623
BRS,FINANCE,7,2253,296,0.623
RSP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,108,0.623
IND.,AGRICULTURE AND FARMERS WELFARE,28,2754,971,0.622
VCK,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",3,1332,215,0.622
DMK,HEAVY INDUSTRIES,15,406,3537,0.62
CPI,INFORMATION AND BROADCASTING,2,465,412,0.62
TDP,PANCHAYATI RAJ,13,573,2178,0.619
CPI(M),"MICRO, SMALL AND MEDIUM ENTERPRISES",13,1131,1102,0.619
CPI,TEXTILES,3,699,412,0.619
RJD,TOURISM,6,1076,537,0.617
CPI(M),ATOMIC ENERGY,5,437,1102,0.617
AIADMK,POWER,6,830,697,0.616
BAP,TEXTILES,1,699,138,0.616
SP,COMMUNICATIONS,27,1120,2331,0.614
BAP,EDUCATION,4,2802,138,0.614
ASP (KR),PETROLEUM AND NATURAL GAS,1,1138,85,0.614
YSRCP,MINORITY AFFAIRS,7,535,1271,0.611
CPI(M),ELECTRONICS AND INFORMATION TECHNOLOGY,11,971,1102,0.61
BJD,HOME AFFAIRS,11,1051,1019,0.61
SS,SCIENCE AND TECHNOLOGY,5,430,1132,0.61
AIADMK,TEXTILES,5,699,697,0.609
LJSP(RV),CIVIL AVIATION,6,2129,276,0.606
VCK,LAW AND JUSTICE,2,911,215,0.606
AAP,NEW AND RENEWABLE ENERGY,8,995,790,0.604
SHS(UBT),PANCHAYATI RAJ,4,573,686,0.604
JMM,EXTERNAL AFFAIRS,2,1026,192,0.603
AITC,COAL,17,661,2544,0.6
BJD,ELECTRONICS AND INFORMATION TECHNOLOGY,10,971,1019,0.6
JMM,ROAD TRANSPORT AND HIGHWAYS,4,2061,192,0.6
TDP,AYUSH,25,1138,2178,0.599
SKM,FINANCE,1,2253,44,0.599
Unknown,TEXTILES,1,699,142,0.598
KC(M),CORPORATE AFFAIRS,1,737,135,0.597
J&KNC,COMMUNICATIONS,1,1120,89,0.596
AAP,RURAL DEVELOPMENT,11,1389,790,0.595
NOM.,HOME AFFAIRS,3,1051,285,0.595
BJD,LABOUR AND EMPLOYMENT,16,1570,1019,0.594
SP,MINES,10,429,2331,0.594
MDMK,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2,1332,150,0.594
SP,TOURISM,25,1076,2331,0.592
SHS(UBT),COOPERATION,5,731,686,0.592
AIMIM,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,114,0.591
LJSP(RV),HOUSING AND URBAN AFFAIRS,5,1823,276,0.59
NOM.,CIVIL AVIATION,6,2129,285,0.587
IND.,SOCIAL JUSTICE AND EMPOWERMENT,10,1048,971,0.584
SP,ATOMIC ENERGY,10,437,2331,0.583
AIADMK,COOPERATION,5,731,697,0.583
AITC,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,22,882,2544,0.582
CPI(ML)(L),YOUTH AFFAIRS AND SPORTS,2,1024,200,0.58
NCP(SP),ATOMIC ENERGY,3,437,704,0.579
AITC,FOOD PROCESSING INDUSTRIES,19,770,2544,0.576
IND.,EARTH SCIENCES,4,425,971,0.576
JSP,INFORMATION AND BROADCASTING,1,465,222,0.575
BJD,HEAVY INDUSTRIES,4,406,1019,0.574
BRS,SOCIAL JUSTICE AND EMPOWERMENT,3,1048,296,0.574
AAP,HOME AFFAIRS,8,1051,790,0.572
IND.,MINORITY AFFAIRS,5,535,971,0.572
AIMIM,LAW AND JUSTICE,1,911,114,0.572
KC(M),"PORTS, SHIPPING AND WATERWAYS",1,769,135,0.572
CPI(M),COAL,7,661,1102,0.571
LJSP(RV),"MICRO, SMALL AND MEDIUM ENTERPRISES",3,1131,276,0.571
JD(U),YOUTH AFFAIRS AND SPORTS,10,1024,1018,0.57
MDMK,RURAL DEVELOPMENT,2,1389,150,0.57
CPI(M),JAL SHAKTI,21,1997,1102,0.567
CPI,WOMEN AND CHILD DEVELOPMENT,5,1271,412,0.567
LJSP(RV),AYUSH,3,1138,276,0.567
AIMIM,AGRICULTURE AND FARMERS WELFARE,3,2754,114,0.567
NCP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",2,1021,205,0.567
Unknown,CORPORATE AFFAIRS,1,737,142,0.567
IUML,"PORTS, SHIPPING AND WATERWAYS",5,769,682,0.566
NCP,YOUTH AFFAIRS AND SPORTS,2,1024,205,0.566
UPPL,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,119,0.566
AITC,TOURISM,26,1076,2544,0.564
IUML,RURAL DEVELOPMENT,9,1389,682,0.564
BJD,POWER,8,830,1019,0.562
NCP,ROAD TRANSPORT AND HIGHWAYS,4,2061,205,0.562
CPI,ROAD TRANSPORT AND HIGHWAYS,8,2061,412,0.559
JD(U),STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,1018,0.557
Unknown,FINANCE,3,2253,142,0.557
RLD,HOUSING AND URBAN AFFAIRS,2,1823,117,0.557
RLD,LAW AND JUSTICE,1,911,117,0.557
NCP(SP),LAW AND JUSTICE,6,911,704,0.556
RLP,CORPORATE AFFAIRS,1,737,145,0.556
CPI(M),TOURISM,11,1076,1102,0.551
SP,CIVIL AVIATION,46,2129,2331,0.55
AIADMK,INFORMATION AND BROADCASTING,3,465,697,0.55
JMM,FINANCE,4,2253,192,0.549
IND.,STEEL,3,334,971,0.549
SP,CULTURE,23,1069,2331,0.548
SP,INFORMATION AND BROADCASTING,10,465,2331,0.548
AGP,HEALTH AND FAMILY WELFARE,2,3550,61,0.548
YSRCP,MINES,5,429,1271,0.545
JD(U),MINES,4,429,1018,0.544
RLD,EDUCATION,3,2802,117,0.543
RJD,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",5,1021,537,0.542
NCP,CULTURE,2,1069,205,0.542
JD(U),ELECTRONICS AND INFORMATION TECHNOLOGY,9,971,1018,0.541
JMM,PANCHAYATI RAJ,1,573,192,0.54
AIMIM,RAILWAYS,3,2900,114,0.539
YSRCP,RURAL DEVELOPMENT,16,1389,1271,0.538
VCK,EXTERNAL AFFAIRS,2,1026,215,0.538
SP,AYUSH,24,1138,2331,0.537
BRS,COMMUNICATIONS,3,1120,296,0.537
NCP(SP),STATISTICS AND PROGRAMME IMPLEMENTATION,2,314,704,0.537
VCK,ROAD TRANSPORT AND HIGHWAYS,4,2061,215,0.536
AIADMK,TRIBAL AFFAIRS,5,796,697,0.535
RJD,POWER,4,830,537,0.533
YSRCP,RAILWAYS,33,2900,1271,0.532
