party,ministry,questions,ministry_total,party_total,lift
BAP,ATOMIC ENERGY,2,437,138,1.969
SKM,ROAD TRANSPORT AND HIGHWAYS,3,2061,44,1.964
AIMIM,TRIBAL AFFAIRS,3,796,114,1.963
NOM.,EARTH SCIENCES,4,425,285,1.961
SP,MINORITY AFFAIRS,41,535,2331,1.952
BRS,CHEMICALS AND FERTILIZERS,12,1235,296,1.949
SAD,HOME AFFAIRS,3,1051,87,1.948
JD(S),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,30,1.939
RLP,AGRICULTURE AND FARMERS WELFARE,13,2754,145,1.933
RLP,WOMEN AND CHILD DEVELOPMENT,6,1271,145,1.933
RSP,AYUSH,4,1138,108,1.933
JD(S),YOUTH AFFAIRS AND SPORTS,1,1024,30,1.933
SKM,TEXTILES,1,699,44,1.931
DMDK,HEALTH AND FAMILY WELFARE,3,3550,26,1.93
VCK,PANCHAYATI RAJ,4,573,215,1.928
AIMIM,COMMERCE AND INDUSTRY,5,1356,114,1.921
YSRCP,COMMUNICATIONS,46,1120,1271,1.919
Unknown,ATOMIC ENERGY,2,437,142,1.914
AITC,EXTERNAL AFFAIRS,84,1026,2544,1.911
TDP,SCIENCE AND TECHNOLOGY,30,430,2178,1.902
JMM,AYUSH,7,1138,192,1.902
NCP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",2,305,205,1.899
BJP,PARLIAMENTARY AFFAIRS,49,67,22881,1.898
VCK,ATOMIC ENERGY,3,437,215,1.896
AGP,ROAD TRANSPORT AND HIGHWAYS,4,2061,61,1.889
JD(S),SOCIAL JUSTICE AND EMPOWERMENT,1,1048,30,1.889
SAD,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",5,1809,87,1.887
RLD,TOURISM,4,1076,117,1.887
CPI,MINORITY AFFAIRS,7,535,412,1.886
YSRCP,"PORTS, SHIPPING AND WATERWAYS",31,769,1271,1.883
NCP,FOOD PROCESSING INDUSTRIES,5,770,205,1.881
NCP,CHEMICALS AND FERTILIZERS,8,1235,205,1.876
CPI(ML)(L),WOMEN AND CHILD DEVELOPMENT,8,1271,200,1.869
